firstName,lastName,,Tm,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deandre,Ayton,,PHO,2035,522,887,152,200,172,495,667,115,37,53,120,190,1203
Udoka,Azubuike,,UTA,359,59,72,7,20,31,88,119,11,6,15,18,34,125
Marvin,Bagley,III,DET,990,202,382,81,108,94,175,269,36,19,30,46,81,504
Patrick,Baldwin,Jr.,GSW,226,43,109,4,6,1,39,40,11,6,4,11,14,122
LaMelo,Ball,,CHO,1268,296,721,102,122,42,189,231,304,46,11,129,118,838
Mo,Bamba,,TOT,769,117,241,41,62,58,167,225,46,13,43,30,105,323
Mo,Bamba,,ORL,681,106,214,35,51,47,137,184,42,12,38,22,86,290
Mo,Bamba,,LAL,88,11,27,6,11,11,30,41,4,1,5,8,19,33
Paolo,Banchero,,ORL,2430,479,1122,394,534,84,413,497,269,60,39,200,160,1437
Desmond,Bane,,MEM,1841,450,939,181,205,43,248,291,254,56,22,126,150,1247
Dalano,Banton,,TOR,279,55,130,17,24,11,34,45,36,13,13,18,34,142
Dominick,Barlow,,SAS,408,46,86,18,25,46,56,102,24,10,19,15,56,110
Harrison,Barnes,,SAC,2662,374,791,350,413,87,279,366,128,57,10,86,103,1230
Scottie,Barnes,,TOR,2678,463,1016,190,246,179,333,512,371,83,61,154,170,1179
RJ,Barrett,,NYK,2475,510,1176,290,392,60,308,368,201,31,15,164,179,1431
Will,Barton,,TOT,993,138,364,37,47,15,122,137,112,28,13,48,56,379
Will,Barton,,WAS,782,110,285,35,45,10,101,111,95,17,10,45,39,307
Will,Barton,,TOR,211,28,79,2,2,5,21,26,17,11,3,3,17,72
Charles,Bassey,,SAS,508,87,135,22,37,75,118,193,47,16,33,41,74,199
Keita,Bates-Diop,,SAS,1452,236,465,119,150,65,183,248,103,46,20,56,63,647
Nicolas,Batum,,LAC,1709,160,381,34,48,62,237,299,121,54,44,50,149,478
Darius,Bazley,,TOT,616,83,183,38,70,34,104,138,38,22,34,27,44,224
Darius,Bazley,,OKC,555,71,158,36,65,29,93,122,32,19,29,22,35,196
Darius,Bazley,,PHO,61,12,25,2,5,5,11,16,6,3,5,5,9,28
Bradley,Beal,,WAS,1673,444,878,192,228,41,155,196,271,45,33,145,107,1160
Malik,Beasley,,TOT,2093,370,937,50,65,35,248,283,124,65,9,90,107,1025
Malik,Beasley,,UTA,1472,265,669,37,44,27,170,197,93,44,8,60,75,736
Malik,Beasley,,LAL,621,105,268,13,21,8,78,86,31,21,1,30,32,289
MarJon,Beauchamp,,MIL,701,96,243,27,37,38,77,115,35,21,7,45,71,266
D?vis,Bert?ns,,DAL,492,69,160,13,15,10,43,53,21,11,8,10,53,206
Patrick,Beverley,,TOT,1816,144,360,47,65,44,203,247,194,63,41,60,187,415
Patrick,Beverley,,LAL,1211,97,241,39,50,24,116,140,118,40,25,42,124,288
Patrick,Beverley,,CHI,605,47,119,8,15,20,87,107,76,23,16,18,63,127
Saddiq,Bey,,TOT,2129,353,836,205,238,98,264,362,118,70,13,71,123,1062
Saddiq,Bey,,DET,1500,245,606,180,209,59,183,242,84,50,12,54,86,771
Saddiq,Bey,,ATL,629,108,230,25,29,39,81,120,34,20,1,17,37,291
Khem,Birch,,TOR,162,19,32,4,5,8,17,25,7,5,5,8,24,43
Goga,Bitadze,,TOT,457,69,125,23,42,61,76,137,39,16,26,22,64,167
Goga,Bitadze,,IND,202,27,52,11,24,25,24,49,18,9,10,12,34,69
Goga,Bitadze,,ORL,255,42,73,12,18,36,52,88,21,7,16,10,30,98
Bismack,Biyombo,,PHO,874,119,206,25,70,89,171,260,56,18,88,51,114,263
Buddy,Boeheim,,DET,90,5,27,2,2,2,4,6,4,2,0,0,6,16
Bogdan,Bogdanovi?,,ATL,1508,273,611,64,77,23,142,165,150,43,18,65,86,756
Bojan,Bogdanovi?,,DET,1893,430,882,268,303,36,187,223,152,34,8,135,113,1273
Bol,Bol,,ORL,1505,261,478,82,108,69,336,405,69,30,85,112,92,634
Leandro,Bolmaro,,UTA,68,3,20,0,0,4,3,7,7,3,1,7,10,6
Devin,Booker,,PHO,1835,527,1067,306,358,46,194,240,293,51,18,145,159,1471
Brandon,Boston,Jr.,LAC,248,51,122,29,38,7,23,30,20,9,0,12,21,143
Chris,Boucher,,TOR,1523,261,529,128,168,157,264,421,29,47,64,41,143,712
James,Bouknight,,CHO,515,69,193,20,30,8,64,72,41,14,5,32,49,191
Jamaree,Bouyea,,TOT,71,6,14,1,2,1,5,6,4,4,2,4,6,15
Jamaree,Bouyea,,MIA,65,6,13,1,2,1,4,5,4,4,2,4,5,15
Jamaree,Bouyea,,WAS,6,0,1,0,0,0,1,1,0,0,0,0,1,0
Tony,Bradley,,CHI,33,6,12,4,4,1,10,11,1,1,1,1,2,19
Malaki,Branham,,SAS,1550,269,611,58,70,28,153,181,127,33,7,76,115,673
Jarrell,Brantley,,UTA,39,8,14,2,2,1,5,6,3,0,2,2,3,22
Christian,Braun,,DEN,1181,143,289,40,64,48,133,181,59,41,17,35,101,360
Mikal,Bridges,,TOT,2963,593,1267,316,353,79,285,364,273,91,61,127,159,1671
Mikal,Bridges,,PHO,2040,354,764,156,174,56,187,243,201,65,45,78,115,965
Mikal,Bridges,,BRK,923,239,503,160,179,23,98,121,72,26,16,49,44,706
Oshae,Brissett,,IND,1083,123,319,104,145,62,156,218,44,33,13,34,79,398
Malcolm,Brogdon,,BOS,1744,354,732,160,184,42,238,280,248,45,18,98,109,1000
Dillon,Brooks,,MEM,2214,392,991,120,154,45,199,244,189,65,16,104,240,1047
Bruce,Brown,,DEN,2280,358,741,116,153,63,265,328,268,87,51,123,190,923
Greg,Brown,III,POR,93,11,28,5,12,2,17,19,3,4,5,6,13,28
Jaylen,Brown,,BOS,2405,679,1383,263,344,78,381,459,232,75,26,197,172,1784
Kendall,Brown,,IND,40,4,7,1,2,2,4,6,3,4,0,2,9,9
Moses,Brown,,TOT,294,61,96,33,72,57,82,139,4,4,14,15,39,155
Moses,Brown,,LAC,288,61,96,33,72,57,82,139,4,3,14,14,38,155
Moses,Brown,,BRK,6,0,0,0,0,0,0,0,0,1,0,1,1,0
Sterling,Brown,,LAL,24,0,4,0,0,3,5,8,2,3,0,0,4,0
Troy,Brown,Jr.,LAL,1860,200,465,34,39,62,246,308,95,59,16,49,120,541
Jalen,Brunson,,NYK,2379,587,1195,325,392,40,201,241,421,61,15,142,152,1633
Thomas,Bryant,,TOT,1081,230,369,93,126,86,253,339,31,16,30,38,102,579
Thomas,Bryant,,LAL,876,197,301,80,108,67,212,279,29,14,23,28,77,496
Thomas,Bryant,,DEN,205,33,68,13,18,19,41,60,2,2,7,10,25,83
Reggie,Bullock,,DAL,2364,192,470,26,37,32,251,283,108,54,13,36,166,561
Alec,Burks,,DET,1122,200,459,153,188,19,139,158,114,38,8,58,98,652
Deonte,Burton,,SAC,6,0,2,0,0,0,0,0,0,0,0,0,0,0
Jared,Butler,,OKC,77,15,32,0,0,1,3,4,8,5,0,5,5,37
Jimmy,Butler,,MIA,2138,479,888,472,555,141,234,375,340,117,21,101,80,1466
John,Butler,,POR,221,17,53,3,4,3,14,17,11,7,9,1,22,45
Jamal,Cain,,MIA,240,37,66,17,22,15,37,52,12,11,1,6,21,98
Kentavious,Caldwell-Pope,,DEN,2381,292,632,103,125,35,173,208,183,112,35,86,145,822
Facundo,Campazzo,,DAL,52,3,13,1,2,0,2,2,9,6,0,3,3,10
Vlatko,?an?ar,,DEN,889,108,227,38,41,24,104,128,80,22,14,37,84,297
Clint,Capela,,ATL,1730,350,536,79,131,258,459,717,58,45,79,54,139,779
Vernon,Carey,Jr.,WAS,28,2,8,2,2,3,8,11,3,2,2,2,5,6
Jevon,Carter,,MIL,1810,239,565,31,38,35,167,202,197,66,29,78,158,651
Wendell,Carter,Jr.,ORL,1690,322,613,144,195,120,377,497,132,30,33,106,159,868
Michael,Carter-Williams,,ORL,44,6,14,4,7,1,4,5,7,1,1,4,5,17
Alex,Caruso,,CHI,1575,130,286,59,73,42,154,196,193,98,46,77,159,374
Julian,Champagnie,,TOT,320,59,130,14,17,10,50,60,10,6,5,11,26,165
Julian,Champagnie,,PHI,7,0,2,0,0,0,0,0,0,1,0,0,0,0
Julian,Champagnie,,SAS,313,59,128,14,17,10,50,60,10,5,5,11,26,165
Justin,Champagnie,,TOT,34,5,15,0,0,3,5,8,4,1,0,0,2,11
Justin,Champagnie,,TOR,11,3,3,0,0,1,3,4,1,0,0,0,1,6
Justin,Champagnie,,BOS,23,2,12,0,0,2,2,4,3,1,0,0,1,5
Kennedy,Chandler,,MEM,281,35,83,6,13,9,29,38,58,12,5,18,15,78
Max,Christie,,LAL,512,44,106,14,16,7,68,75,21,9,7,13,33,128
Josh,Christopher,,HOU,786,153,329,45,60,20,51,71,73,33,15,60,59,372
Brandon,Clarke,,MEM,1090,229,349,99,137,92,218,310,72,34,37,55,131,558
Jordan,Clarkson,,UTA,1988,458,1031,200,245,72,174,246,270,33,13,186,120,1271
Nic,Claxton,,BRK,2271,414,587,133,246,184,518,702,144,65,189,96,212,961
Amir,Coffey,,LAC,625,56,145,49,63,17,36,53,53,7,5,21,50,172
John,Collins,,ATL,2130,359,707,143,178,77,385,462,85,42,73,79,220,931
Zach,Collins,,SAS,1441,284,548,108,142,116,286,402,180,37,49,129,199,731
Chance,Comanche,,POR,21,3,5,1,4,2,1,3,0,0,1,0,0,7
Mike,Conley,,TOT,2029,261,610,141,169,33,149,182,450,73,14,103,139,798
Mike,Conley,,UTA,1276,153,375,78,96,17,90,107,330,44,10,74,94,461
Mike,Conley,,MIN,753,108,235,63,73,16,59,75,120,29,4,29,45,337
Pat,Connaughton,,MIL,1443,165,421,27,41,50,233,283,77,37,11,33,69,466
Xavier,Cooks,,WAS,126,17,28,4,10,16,22,38,6,6,4,8,13,38
Robert,Covington,,LAC,779,102,229,30,40,31,135,166,57,38,33,32,86,288
Torrey,Craig,,PHO,1948,228,500,32,45,145,281,426,117,50,62,73,179,588
Jae,Crowder,,MIL,340,45,94,10,12,17,52,69,27,12,6,7,27,124
Jarrett,Culver,,ATL,137,17,43,9,13,10,28,38,6,6,2,7,14,44
Cade,Cunningham,,DET,400,93,224,36,43,12,62,74,72,10,7,39,34,239
Seth,Curry,,BRK,1211,208,449,51,55,13,87,100,99,36,7,51,96,561
Stephen,Curry,,GSW,1941,559,1133,257,281,39,302,341,352,52,20,179,117,1648
Dyson,Daniels,,NOP,1042,87,208,26,40,36,152,188,134,43,11,57,99,227
Anthony,Davis,,LAL,1904,542,962,348,444,195,507,702,148,59,114,122,146,1451
Johnny,Davis,,WAS,423,66,171,14,27,10,55,65,28,10,8,17,48,163
Terence,Davis,,SAC,841,154,364,34,43,20,119,139,67,43,12,53,104,431
JD,Davison,,BOS,66,8,19,1,2,2,7,9,11,2,2,4,5,19
Darius,Days,,HOU,25,5,12,2,2,1,5,6,1,0,1,0,2,15
Dewayne,Dedmon,,TOT,426,77,151,33,49,34,100,134,26,9,19,25,75,199
Dewayne,Dedmon,,MIA,350,64,129,32,44,28,81,109,16,7,14,19,61,171
Dewayne,Dedmon,,PHI,76,13,22,1,5,6,19,25,10,2,5,6,14,28
Matthew,Dellavedova,,SAC,213,17,50,4,7,1,12,13,41,7,0,10,20,47
DeMar,DeRozan,,CHI,2682,657,1303,456,523,34,309,343,377,83,36,153,186,1816
Moussa,Diabaté,,LAC,195,24,47,10,16,31,19,50,4,7,8,9,15,59
Mamadi,Diakite,,CLE,176,24,50,2,2,8,22,30,8,4,9,12,26,57
Hamidou,Diallo,,DET,996,215,375,87,148,57,137,194,55,53,16,71,124,522
Gorgui,Dieng,,SAS,358,45,117,10,13,27,80,107,53,4,14,32,57,121
Ousmane,Dieng,,OKC,569,76,181,15,23,19,86,105,46,14,7,26,42,193
Spencer,Dinwiddie,,TOT,2725,460,1050,268,330,28,242,270,515,67,24,145,187,1369
Spencer,Dinwiddie,,DAL,1808,316,694,170,207,19,144,163,279,39,16,90,124,940
Spencer,Dinwiddie,,BRK,917,144,356,98,123,9,98,107,236,28,8,55,63,429
Donte,DiVincenzo,,GSW,1894,235,540,58,71,80,245,325,252,97,10,112,133,678
Luka,Don?i?,,DAL,2391,719,1449,515,694,54,515,569,529,90,33,236,166,2138
Tyler,Dorsey,,DAL,8,4,5,0,0,1,1,2,0,0,0,0,0,9
Luguentz,Dort,,OKC,2272,339,873,200,259,128,216,344,154,75,23,92,243,1013
Ayo,Dosunmu,,CHI,2098,281,570,66,82,45,175,220,206,62,26,99,182,687
Devon,Dotson,,WAS,53,1,10,0,0,6,4,10,8,5,0,3,9,3
Jeff,Dowtin,,TOR,259,25,57,6,9,6,17,23,31,9,3,5,13,61
PJ,Dozier,,SAC,79,10,33,0,0,1,13,14,10,6,1,5,7,22
Goran,Dragi?,,TOT,870,141,335,31,45,16,65,81,151,13,4,63,65,365
Goran,Dragi?,,CHI,787,127,299,27,41,13,56,69,139,11,4,56,63,326
Goran,Dragi?,,MIL,83,14,36,4,4,3,9,12,12,2,0,7,2,39
Andre,Drummond,,CHI,849,166,274,67,125,138,306,444,33,45,27,75,117,399
Chris,Duarte,,IND,897,123,333,61,72,19,96,115,64,25,9,41,65,362
David,Duke,Jr.,BRK,228,36,78,12,17,11,18,29,21,10,1,18,31,85
Kris,Dunn,,UTA,568,116,216,41,53,9,91,100,124,25,10,35,58,290
Kevin,Durant,,TOT,1672,483,862,307,334,17,296,313,235,34,67,156,99,1366
Kevin,Durant,,BRK,1403,410,734,267,286,14,248,262,207,32,57,136,92,1158
Kevin,Durant,,PHO,269,73,128,40,48,3,48,51,28,2,10,20,7,208
Jalen,Duren,,DET,1670,258,398,96,157,229,366,595,75,44,59,92,182,612
Tari,Eason,,HOU,1767,296,660,109,145,195,301,496,88,96,47,101,189,760
Anthony,Edwards,,MIN,2842,707,1541,319,422,47,411,458,350,125,58,259,186,1946
Kessler,Edwards,,TOT,385,36,93,11,15,23,38,61,23,14,6,13,40,100
Kessler,Edwards,,BRK,79,6,24,1,2,6,8,14,2,3,1,4,3,15
Kessler,Edwards,,SAC,306,30,69,10,13,17,30,47,21,11,5,9,37,85
Keon,Ellis,,SAC,71,7,16,4,7,4,4,8,6,5,1,1,10,24
Joel,Embiid,,PHI,2284,728,1328,661,771,113,557,670,274,66,112,226,205,2183
Drew,Eubanks,,POR,1584,214,334,83,125,132,286,418,103,40,102,67,169,518
Bruno,Fernando,,TOT,405,59,112,35,50,54,83,137,31,6,34,25,74,153
Bruno,Fernando,,HOU,364,48,93,30,44,48,74,122,30,6,31,20,68,126
Bruno,Fernando,,ATL,41,11,19,5,6,6,9,15,1,0,3,5,6,27
Dorian,Finney-Smith,,TOT,2009,196,501,45,59,114,202,316,100,55,36,62,144,551
Dorian,Finney-Smith,,DAL,1288,129,310,30,40,67,121,188,59,38,20,36,80,365
Dorian,Finney-Smith,,BRK,721,67,191,15,19,47,81,128,41,17,16,26,64,186
Malachi,Flynn,,TOR,691,87,242,25,33,15,61,76,70,21,4,25,65,246
Simone,Fontecchio,,UTA,766,115,312,35,44,31,55,86,42,15,8,39,62,328
Bryn,Forbes,,MIN,268,30,83,15,15,4,11,15,17,7,2,12,22,89
Trent,Forrest,,ATL,277,25,60,2,3,5,32,37,38,7,2,15,17,52
Michael,Foster,Jr.,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan,Fournier,,NYK,459,56,166,18,21,4,45,49,36,16,3,22,46,165
De'Aaron,Fox,,SAC,2435,682,1331,343,440,40,266,306,447,83,23,181,172,1826
Markelle,Fultz,,ORL,1778,349,679,112,143,69,165,234,341,87,26,139,131,837
Wenyen,Gabriel,,LAL,1024,155,260,52,84,116,170,286,36,26,35,46,144,372
Daniel,Gafford,,WAS,1604,289,395,127,187,163,270,433,84,33,99,85,187,705
Darius,Garland,,CLE,2447,522,1129,277,321,28,157,185,538,85,9,199,148,1490
Usman,Garuba,,HOU,970,86,177,29,47,120,187,307,64,44,29,47,135,225
Luka,Garza,,MIN,243,63,116,41,52,33,30,63,18,3,2,14,43,181
Rudy,Gay,,UTA,816,109,287,42,49,33,130,163,57,19,18,37,68,293
Paul,George,,LAC,1939,459,1004,256,294,45,297,342,288,83,20,176,159,1332
Taj,Gibson,,WAS,480,65,125,30,42,32,61,93,34,15,12,26,84,168
Josh,Giddey,,OKC,2367,539,1118,106,145,148,451,599,469,57,31,211,143,1260
Shai,Gilgeous-Alexander,,OKC,2416,704,1381,669,739,59,270,329,371,112,65,192,192,2135
Anthony,Gill,,WAS,624,71,132,49,67,37,62,99,34,7,12,15,70,195
Jacob,Gilyard,,MEM,41,1,3,0,0,0,4,4,7,3,0,2,3,3
Rudy,Gobert,,MIN,2148,360,546,219,340,231,583,814,87,56,95,122,210,939
Jordan,Goodwin,,WAS,1106,158,353,53,69,57,148,205,168,58,26,57,95,407
Aaron,Gordon,,DEN,2055,429,761,191,314,164,282,446,203,54,51,98,129,1109
Eric,Gordon,,TOT,1965,291,653,142,173,16,118,134,183,43,25,104,78,856
Eric,Gordon,,HOU,1418,210,478,110,135,12,85,97,136,30,17,83,45,615
Eric,Gordon,,LAC,547,81,175,32,38,4,33,37,47,13,8,21,33,241
Devonte',Graham,,TOT,1338,161,431,98,131,19,103,122,196,45,16,53,79,539
Devonte',Graham,,NOP,811,85,231,44,59,12,60,72,116,30,10,27,48,280
Devonte',Graham,,SAS,527,76,200,54,72,7,43,50,80,15,6,26,31,259
Jerami,Grant,,POR,2246,434,913,278,342,53,230,283,150,51,53,116,152,1290
RaiQuan,Gray,,BRK,35,6,12,2,2,3,6,9,7,0,1,4,5,16
A.J.,Green,,MIL,345,53,125,4,4,6,39,45,22,6,0,9,31,154
Danny,Green,,TOT,138,22,49,1,1,3,11,14,6,6,3,10,16,61
Danny,Green,,MEM,43,3,11,0,0,1,3,4,2,1,0,3,6,9
Danny,Green,,CLE,95,19,38,1,1,2,8,10,4,5,3,7,10,52
Draymond,Green,,GSW,2297,250,474,77,108,66,459,525,500,74,60,204,229,617
Jalen,Green,,HOU,2602,566,1359,364,463,43,241,284,281,59,18,200,131,1683
JaMychal,Green,,GSW,797,136,252,52,67,72,133,205,51,25,23,52,105,366
Javonte,Green,,CHI,480,61,108,30,45,27,61,88,23,24,21,20,52,165
Jeff,Green,,DEN,1091,160,328,87,117,38,106,144,69,18,17,46,99,437
Josh,Green,,DAL,1539,205,382,68,94,55,127,182,103,42,5,72,156,546
AJ,Griffin,,ATL,1401,248,533,42,47,37,116,153,73,42,12,42,87,639
Blake,Griffin,,BOS,569,63,130,21,32,47,108,155,61,14,9,22,75,170
Quentin,Grimes,,NYK,2121,282,602,78,98,49,180,229,150,47,26,69,177,799
Rui,Hachimura,,TOT,1466,284,584,88,119,53,230,283,58,19,26,53,72,707
Rui,Hachimura,,WAS,728,158,324,44,58,19,109,128,35,11,12,36,39,390
Rui,Hachimura,,LAL,738,126,260,44,61,34,121,155,23,8,14,17,33,317
Tyrese,Haliburton,,IND,1883,412,841,175,201,33,172,205,585,91,25,141,69,1160
Jordan,Hall,,SAS,83,9,28,7,9,3,9,12,11,1,0,7,6,28
R.J.,Hampton,,TOT,750,102,237,57,76,18,69,87,54,27,9,42,51,302
R.J.,Hampton,,ORL,361,50,114,31,37,9,30,39,34,16,4,21,22,149
R.J.,Hampton,,DET,389,52,123,26,39,9,39,48,20,11,5,21,29,153
Tim,Hardaway,Jr.,DAL,2152,340,847,127,165,21,230,251,129,49,12,60,120,1019
James,Harden,,PHI,2135,371,842,313,361,40,314,354,618,71,31,195,112,1216
Jaden,Hardy,,DAL,708,146,333,65,79,11,78,89,65,17,7,46,64,420
Ron,Harper,Jr.,TOR,48,8,16,1,1,3,4,7,4,0,1,0,3,20
Montrezl,Harrell,,PHI,681,125,209,70,101,67,92,159,33,17,25,35,75,320
Gary,Harris,,ORL,1184,138,307,27,30,21,77,98,59,45,12,28,93,397
Joe,Harris,,BRK,1527,201,440,18,28,23,141,164,101,34,13,41,140,562
Kevon,Harris,,ORL,457,47,107,31,41,28,42,70,16,17,5,21,53,141
Tobias,Harris,,PHI,2436,423,845,113,129,67,357,424,186,68,40,89,149,1085
Shaquille,Harrison,,POR,120,15,36,11,15,1,21,22,30,11,2,6,12,44
Josh,Hart,,TOT,2454,275,520,132,176,142,451,593,290,88,21,117,195,743
Josh,Hart,,POR,1704,183,363,87,119,95,322,417,200,54,9,79,133,487
Josh,Hart,,NYK,750,92,157,45,57,47,129,176,90,34,12,38,62,256
Isaiah,Hartenstein,,NYK,1626,175,327,48,71,209,327,536,102,53,64,66,213,406
Udonis,Haslem,,MIA,71,10,29,4,5,4,7,11,0,1,2,1,11,27
Sam,Hauser,,BOS,1290,180,396,12,17,35,169,204,71,29,21,30,99,512
Jaxson,Hayes,,NOP,610,86,156,58,83,39,93,132,34,20,19,31,67,233
Killian,Hayes,,DET,2154,307,815,92,112,28,193,221,470,104,28,173,219,786
Gordon,Hayward,,CHO,1577,276,581,129,159,33,182,215,206,42,12,99,70,733
Juancho,Hernangómez,,TOR,614,48,114,9,16,27,96,123,25,16,6,15,43,122
Willy,Hernangómez,,NOP,458,89,169,81,104,58,122,180,33,17,13,39,64,262
Tyler,Herro,,MIA,2337,487,1109,170,182,27,333,360,280,51,16,158,101,1347
Buddy,Hield,,IND,2482,475,1038,106,129,67,333,400,225,92,26,139,156,1344
Haywood,Highsmith,,MIA,969,93,216,13,28,57,131,188,43,36,17,45,82,236
George,Hill,,TOT,834,78,166,42,55,15,70,85,110,26,6,34,55,232
George,Hill,,MIL,668,59,132,34,46,13,54,67,89,19,3,27,41,175
George,Hill,,IND,166,19,34,8,9,2,16,18,21,7,3,7,14,57
Malcolm,Hill,,CHI,9,2,4,0,0,0,3,3,0,0,0,0,1,5
Aaron,Holiday,,ATL,845,92,220,27,32,25,49,74,89,37,12,36,79,247
Jrue,Holiday,,MIL,2183,490,1023,152,177,79,262,341,495,79,25,197,116,1290
Justin,Holiday,,TOT,706,77,204,5,8,5,50,55,41,19,19,22,68,205
Justin,Holiday,,ATL,411,48,125,0,0,2,21,23,25,5,10,12,37,126
Justin,Holiday,,DAL,295,29,79,5,8,3,29,32,16,14,9,10,31,79
Richaun,Holmes,,SAC,348,55,89,15,19,29,51,80,9,3,11,14,50,130
Al,Horford,,BOS,1922,228,479,15,21,73,317,390,189,30,61,37,121,616
Talen,Horton-Tucker,,UTA,1313,257,613,126,168,41,169,210,246,41,29,126,108,698
Danuel,House,Jr.,PHI,807,93,197,45,60,9,85,94,44,14,9,26,69,268
Caleb,Houstan,,ORL,812,66,182,15,18,34,65,99,30,12,7,18,63,193
Trevor,Hudgins,,HOU,28,2,9,3,3,0,0,0,3,0,0,1,1,9
Kevin,Huerter,,SAC,2203,420,866,95,131,42,209,251,221,80,24,97,181,1140
Jay,Huff,,WAS,95,15,25,15,16,6,15,21,10,3,4,5,15,51
De'Andre,Hunter,,ATL,2126,379,822,171,207,46,238,284,94,35,17,82,199,1029
Bones,Hyland,,TOT,1085,228,571,86,102,20,115,135,172,39,15,82,96,659
Bones,Hyland,,DEN,820,173,434,71,82,10,76,86,125,28,13,67,66,508
Bones,Hyland,,LAC,265,55,137,15,20,10,39,49,47,11,2,15,30,151
Serge,Ibaka,,MIL,185,26,54,8,13,15,29,44,4,2,7,11,23,66
Andre,Iguodala,,GSW,113,7,15,2,3,3,14,17,19,4,3,9,11,17
Joe,Ingles,,MIL,1044,108,248,18,21,13,115,128,150,33,6,55,74,317
Brandon,Ingram,,NOP,1538,404,835,240,272,23,223,246,262,32,19,148,116,1112
Kyrie,Irving,,TOT,2241,594,1203,247,273,59,245,304,331,66,45,128,165,1623
Kyrie,Irving,,BRK,1478,398,819,158,179,38,166,204,211,41,33,91,109,1084
Kyrie,Irving,,DAL,763,196,384,89,94,21,79,100,120,25,12,37,56,539
Jonathan,Isaac,,ORL,124,22,53,5,9,15,29,44,6,14,4,4,5,55
Jaden,Ivey,,DET,2304,409,983,266,356,73,215,288,387,61,17,237,242,1204
Frank,Jackson,,UTA,5,0,3,0,0,1,1,2,1,0,0,0,0,0
Isaiah,Jackson,,IND,1042,179,318,95,146,113,169,282,51,31,93,51,154,455
Jaren,Jackson,Jr.,MEM,1787,416,822,241,306,108,318,426,60,65,189,107,227,1173
Justin,Jackson,,BOS,107,7,27,1,2,2,15,17,9,4,4,2,7,20
Quenton,Jackson,,WAS,135,19,42,17,22,2,6,8,15,4,1,4,10,56
Reggie,Jackson,,TOT,1657,263,640,71,78,25,119,144,233,47,6,115,114,693
Reggie,Jackson,,LAC,1338,214,512,61,66,22,94,116,183,38,5,96,92,566
Reggie,Jackson,,DEN,319,49,128,10,12,3,25,28,50,9,1,19,22,127
LeBron,James,,LAL,1954,609,1219,251,327,65,392,457,375,50,32,178,88,1590
Ty,Jerome,,GSW,816,118,242,38,41,7,71,78,135,23,5,30,64,309
Isaiah,Joe,,OKC,1395,224,508,82,100,27,148,175,88,48,8,39,105,691
Alize,Johnson,,SAS,30,3,6,1,2,2,8,10,1,1,0,4,3,7
Cameron,Johnson,,TOT,1199,223,474,101,120,34,151,185,78,50,14,37,83,650
Cameron,Johnson,,PHO,429,82,173,27,33,14,51,65,26,15,6,10,29,236
Cameron,Johnson,,BRK,770,141,301,74,87,20,100,120,52,35,8,27,54,414
Jalen,Johnson,,ATL,1042,158,322,49,78,51,231,282,83,38,34,41,113,395
James,Johnson,,IND,162,22,49,4,8,4,26,30,15,7,6,8,32,51
Keldon,Johnson,,SAS,2063,503,1113,245,327,56,262,318,183,46,11,134,125,1385
Keon,Johnson,,POR,416,67,178,27,41,11,33,44,59,19,6,43,43,189
Stanley,Johnson,,SAS,469,65,122,26,39,22,73,95,67,16,6,33,48,174
Nikola,Joki?,,DEN,2323,646,1022,341,415,167,650,817,678,87,47,247,174,1690
